Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
ANNAROSA'S,50 WATER ST,NEWBURYPORT,MA,Massachusetts,01950,284,4,A
WINFREYS FUDGE & CANDIES,21 MARKET SQ,NEWBURYPORT,MA,Massachusetts,01950,833,7,B
ABRAHAM'S BAGELS,11 LIBERTY ST,NEWBURYPORT,MA,Massachusetts,01950,497,7,B
EAT CAKE,,NEWBURYPORT,MA,Massachusetts,01950,284,4,A
DUNKIN' DONUTS,62 STATE ST,NEWBURYPORT,MA,Massachusetts,01950,168,3,A
GRETA'S GREAT GRAINS,24 PLEASANT ST,NEWBURYPORT,MA,Massachusetts,01950,213,3,A
VITAMINS ETC,58 MERRIMAC ST # 1-2,NEWBURYPORT,MA,Massachusetts,01950,453,3,A
JOPPA FINE FOODS,50 WATER ST # 305,NEWBURYPORT,MA,Massachusetts,01950,1035,9,B
SIMPLY SWEET,12 INN ST # 16,NEWBURYPORT,MA,Massachusetts,01950,238,2,A
NEWBURYPORT GOURMET PANTRY,35 STATE ST,NEWBURYPORT,MA,Massachusetts,01950,575,5,B
TEABERRIES,35 STATE ST,NEWBURYPORT,MA,Massachusetts,01950,575,5,B
DUNKIN' DONUTS,167 STATE ST,NEWBURYPORT,MA,Massachusetts,01950,280,5,B
BOB LOBSTER,49 PLUM ISLAND TPKE,NEWBURY,MA,Massachusetts,01951,1386,6,B
BUTCHERY,2 MORGAN AVE,NEWBURY,MA,Massachusetts,01951,1155,5,B
TENDER CROP FARM,108 HIGH RD,NEWBURY,MA,Massachusetts,01951,2220,10,C
CONNORS FARM,119 CENTRAL ST,GEORGETOWN,MA,Massachusetts,01833,222,1,A
DUNKIN' DONUTS,435 NEWBURY ST # EXXON,DANVERS,MA,Massachusetts,01923,224,4,A
EXECUTIVE GOURMET SVC,35 VILLAGE RD # 400,MIDDLETON,MA,Massachusetts,01949,575,5,B
SKIP'S COUNTRY STORE,801 HAVERHILL ST,ROWLEY,MA,Massachusetts,01969,494,2,A
